Mixture	Olig	InN	Micro	ExN	OPC	NPC	Endo	Astro	Perc	P-value	Correlation	RMSE
GTEX-13S7M-0011-R7a-SM-5O9DK	0.13528757112955270	0.13681564240949193	0.02853709097767364	0.14105406790701486	0.27578368582742591	0.00713546704858904	0.04366219240292010	0.20776968715305152	0.02395459514428034	0.00000000000000000	0.76834129208071411	0.66460234054583067
GTEX-13SLW-0011-R10a-SM-5S2UI	0.07694667837996551	0.17057281579837666	0.00927457188637257	0.29170766264126852	0.00000000000000000	0.01137998144636510	0.03709135966305645	0.39130898923908991	0.01171794094550536	0.00000000000000000	0.84652077029626160	0.63765773410125171
GTEX-13SLW-0011-R1a-SM-5S2W7	0.17624836662917132	0.06771273369987264	0.04405613621239947	0.18671229270977341	0.15216204545073508	0.00706079305857116	0.07075619886412034	0.26984567630012818	0.02544575707522843	0.00000000000000000	0.70395455266464502	0.72982534747762651
GTEX-13SLW-0011-R3b-SM-5SI6Y	0.13285402508935634	0.16558595741454504	0.01929437660728228	0.35258414566553292	0.00000000000000000	0.01477678230474327	0.05139236791871246	0.24603948151308208	0.01747286348674563	0.00000000000000000	0.76697326205182526	0.75215385831475234
GTEX-13SLW-0011-R4b-SM-5S2W2	0.21305659655351100	0.01878147875961997	0.09084444842838699	0.09634732068457880	0.17284261668556244	0.00511743335919932	0.05626549814603204	0.31607838509986735	0.03066622228324215	0.00000000000000000	0.78525257722320962	0.64102197235677438
GTEX-13SLW-0011-R5b-SM-5SI6Z	0.10170065520788267	0.05125625615664156	0.04267400754765448	0.09128227177318043	0.17150921613609535	0.03605705114627662	0.06168117428877264	0.41295331260619739	0.03088605513729897	0.00000000000000000	0.87570746970967039	0.54219725675197628
GTEX-13SLW-0011-R6a-SM-5O9BH	0.08974955671577732	0.10800729783917719	0.01646008656842216	0.31052406428821111	0.00000000000000000	0.10092923704720728	0.06216433357638809	0.29837438878152889	0.01379103518328800	0.00000000000000000	0.81492811156499412	0.70816589027921673
GTEX-13SLW-0011-R8b-SM-5SI64	0.12027776774892045	0.31318008161675076	0.02474076381009305	0.21995768288289552	0.00000000000000000	0.03906374492171939	0.02060986529350659	0.25569440881766098	0.00647568490845334	0.00000000000000000	0.64460266272971711	0.80924372185216908
GTEX-13SLX-0011-R10a-SM-5P9HV	0.03482503221940007	0.45917336588996915	0.01038364566290329	0.41150645449456030	0.00000000000000000	0.00382164927911491	0.01861340748092890	0.05544852837656284	0.00622791659656054	0.00000000000000000	0.80377743028970261	0.84488730352103802
GTEX-13SLX-0011-R4a-SM-5O9BJ	0.20084652426102262	0.11350290353379877	0.02211961543913275	0.12661917010846951	0.15861061028607773	0.00000000000000000	0.03109732768030636	0.32737029244180238	0.01983355624938992	0.00000000000000000	0.67155427406122858	0.74637444711990286
GTEX-13SLX-0011-R5a-SM-5O9BV	0.10685199020221672	0.20911071541290435	0.01767405330597656	0.23991710302007641	0.12171681820832528	0.00000000000000000	0.03536724914412129	0.24478339500258106	0.02457867570379822	0.00000000000000000	0.87167665510594972	0.65145229382987058
GTEX-13SLX-0011-R6a-SM-5PNX4	0.12055612277712044	0.23208505270410340	0.02336836775352440	0.16280554999853278	0.14824209314517511	0.00000000000000000	0.03336297985991855	0.25599424947541982	0.02358558428620562	0.00000000000000000	0.81711859089001915	0.66590253895429818
GTEX-13SLX-0011-R8b-SM-5PNWZ	0.21512087792007800	0.16418353616324094	0.02601400804535135	0.07319808997165472	0.32486599246927311	0.00000000000000000	0.03985517054423972	0.13106749010469354	0.02569483478146871	0.00000000000000000	0.67996317549660779	0.73348666422568398
GTEX-13VXU-0011-R3b-SM-5O9CU	0.05807245313184596	0.52720394578715335	0.00972514097995441	0.31085556643490941	0.00041212028990319	0.00662906091452520	0.01850810591686660	0.06025194178584505	0.00834166475899691	0.00000000000000000	0.82531949141641436	0.82257704329657577
GTEX-13VXU-0011-R4b-SM-5O9CI	0.10887074098688795	0.22830420075947203	0.02722480053085693	0.23169249990334856	0.08545460161969594	0.00000000000000000	0.02188740577916381	0.28606015773473420	0.01050559268584059	0.00000000000000000	0.79814467743266881	0.70036406017467501
GTEX-13VXU-0011-R5a-SM-5O9D7	0.08555505239679455	0.24934520583872552	0.03086352554497690	0.25477661189006240	0.11955355012612442	0.00181298174249672	0.03395203325839472	0.20407046068508991	0.02007057851733465	0.00000000000000000	0.81167257987536900	0.71490733610336543
GTEX-13VXU-0011-R6a-SM-5SI71	0.05020496487091770	0.38410308492560691	0.01315551865873878	0.28630860282946019	0.02298664562084368	0.00862588755426800	0.01481636044081739	0.21020336853041952	0.00959556656892775	0.00000000000000000	0.83527577846720513	0.74796832290007476
GTEX-13VXU-0011-R7b-SM-5SI72	0.12800929972510727	0.18598561069817215	0.02766131147320680	0.00428650950501763	0.38941847050659428	0.00000000000000000	0.04851875693502297	0.18536171594748874	0.03075832520939018	0.00000000000000000	0.90718753642725092	0.45939240685177785
GTEX-13X6I-0011-R10a-SM-5PNWI	0.10312892893817334	0.38577459713835749	0.01919068426375873	0.19319850886008208	0.04482173098124644	0.01360130469665155	0.06511084340007225	0.15953979229484277	0.01563360942681541	0.00000000000000000	0.74823911934633747	0.77897931964251599
GTEX-13X6I-0011-R1b-SM-5PNZC	0.14907353593843678	0.19510991253083634	0.05078629467750560	0.16561429522223384	0.30774966717472946	0.00000000000000000	0.06842666207747432	0.04739651111925555	0.01584312125952815	0.00000000000000000	0.65013517857663961	0.76283018812922021
GTEX-13X6I-0011-R3b-SM-5P9HM	0.04926894169998813	0.22710914797040033	0.02156329575007563	0.27869661190871131	0.00000000000000000	0.01409240032051564	0.06532333095058310	0.32460245641786134	0.01934381498186459	0.00000000000000000	0.67706861187499723	0.77398209351995595
GTEX-13X6I-0011-R4b-SM-5PNU9	0.18834749834550010	0.20262857185691763	0.03835239162125578	0.07151706203966128	0.36080647853924669	0.00000000000000000	0.07044039489098590	0.05577529940943140	0.01213230329700136	0.00000000000000000	0.72324057806311581	0.69216922969015537
GTEX-13X6I-0011-R5a-SM-5PNWW	0.10499363610440922	0.13277533762980798	0.05646287360105770	0.04234228391024592	0.26477704805361790	0.00000000000000000	0.06519572128095026	0.30836507713652855	0.02508802228338237	0.00000000000000000	0.68621512308831945	0.72878421268140836
