Comparison	Trait	Ngenes	Beta	Beta_std	SE	pval	Data	Analysis	Direction	padj
hdbr_sexDE_maleBiased	Cortical thickness	1723	0.0038826	0.00098494	0.026564	0.4419	Prenatal	sexDE	maleBiased	0.86664375
hdbr_pseudotimeDE_upRegulated	Cortical thickness	7084	0.042602	0.019216	0.015201	0.0025383	Prenatal	pseudotimeDE	upRegulated	0.0076149
hdbr_pseudotimeDE_downRegulated	Cortical thickness	5128	0.029091	0.01176	0.016146	0.035802	Prenatal	pseudotimeDE	downRegulated	0.071604
gtex_sexDE_femaleBiased	Cortical thickness	307	0.01338	0.0014758	0.058064	0.40888	Adult	sexDE	femaleBiased	0.6546
gtex_sexDE_maleBiased	Cortical thickness	620	0.019745	0.0030752	0.044021	0.32689	Adult	sexDE	maleBiased	0.64059375
gtex_pseudotimeDE_upRegulated	Cortical thickness	2587	0.032679	0.0099671	0.021884	0.067688	Adult	pseudotimeDE	upRegulated	0.16922
gtex_pseudotimeDE_downRegulated	Cortical thickness	1710	0.044094	0.011147	0.025881	0.044225	Adult	pseudotimeDE	downRegulated	0.120613636363636
hdbr_sexDE_femaleBiased	Subcortical volume	1185	-0.01436	-0.0030559	0.033715	0.66491	Prenatal	sexDE	femaleBiased	0.87733
hdbr_sexDE_maleBiased	Subcortical volume	1723	0.0028279	0.00071739	0.029806	0.46221	Prenatal	sexDE	maleBiased	0.86664375
hdbr_pseudotimeDE_upRegulated	Subcortical volume	7084	0.07743	0.034925	0.017049	2.8142e-06	Prenatal	pseudotimeDE	upRegulated	2.11065e-05
hdbr_pseudotimeDE_downRegulated	Subcortical volume	5128	0.066485	0.026877	0.018111	0.00012118	Prenatal	pseudotimeDE	downRegulated	0.0006059
gtex_sexDE_femaleBiased	Subcortical volume	307	0.031222	0.0034438	0.06515	0.31589	Adult	sexDE	femaleBiased	0.64059375
gtex_sexDE_maleBiased	Subcortical volume	620	0.0957	0.014905	0.049388	0.026339	Adult	sexDE	maleBiased	0.1975425
gtex_pseudotimeDE_upRegulated	Subcortical volume	2587	0.090152	0.027496	0.024546	0.00012034	Adult	pseudotimeDE	upRegulated	0.0012034
gtex_pseudotimeDE_downRegulated	Subcortical volume	1710	0.055078	0.013923	0.029039	0.028945	Adult	pseudotimeDE	downRegulated	0.086835
hdbr_sexDE_femaleBiased	Educational attainment	1186	-0.045156	-0.0068617	0.038869	0.87733	Prenatal	sexDE	femaleBiased	0.87733
hdbr_sexDE_maleBiased	Educational attainment	1729	0.0057684	0.0010524	0.0343	0.43322	Prenatal	sexDE	maleBiased	0.86664375
hdbr_pseudotimeDE_upRegulated	Educational attainment	7103	0.036957	0.012886	0.017753	0.018689	Prenatal	pseudotimeDE	upRegulated	0.0467225
hdbr_pseudotimeDE_downRegulated	Educational attainment	5141	-0.0072556	-0.0022008	0.01988	0.64243	Prenatal	pseudotimeDE	downRegulated	0.715166666666667
gtex_sexDE_femaleBiased	Educational attainment	307	0.0081533	0.00063597	0.077716	0.45822	Adult	sexDE	femaleBiased	0.6546
gtex_sexDE_maleBiased	Educational attainment	627	0.13323	0.014804	0.054067	0.0068708	Adult	sexDE	maleBiased	0.1195275
gtex_pseudotimeDE_upRegulated	Educational attainment	2592	0.021411	0.0047402	0.027918	0.22157	Adult	pseudotimeDE	upRegulated	0.369283333333333
gtex_pseudotimeDE_downRegulated	Educational attainment	1711	0.11467	0.020816	0.032085	0.00017626	Adult	pseudotimeDE	downRegulated	0.00132195
hdbr_sexDE_femaleBiased	Epilepsy	1163	-0.026699	-0.0056915	0.028424	0.82621	Prenatal	sexDE	femaleBiased	0.87733
hdbr_sexDE_maleBiased	Epilepsy	1706	-0.018406	-0.0046962	0.025303	0.76651	Prenatal	sexDE	maleBiased	0.87733
hdbr_pseudotimeDE_upRegulated	Epilepsy	6946	0.042622	0.01924	0.014416	0.0015578	Prenatal	pseudotimeDE	upRegulated	0.00519266666666667
hdbr_pseudotimeDE_downRegulated	Epilepsy	5050	0.012281	0.0049774	0.015278	0.21077	Prenatal	pseudotimeDE	downRegulated	0.371947058823529
gtex_sexDE_femaleBiased	Epilepsy	304	0.030086	0.0033391	0.0528	0.28441	Adult	sexDE	femaleBiased	0.64059375
gtex_sexDE_maleBiased	Epilepsy	612	0.066595	0.01042	0.041727	0.055261	Adult	sexDE	maleBiased	0.331566
gtex_pseudotimeDE_upRegulated	Epilepsy	2547	0.016083	0.0049201	0.020862	0.22038	Adult	pseudotimeDE	upRegulated	0.369283333333333
gtex_pseudotimeDE_downRegulated	Epilepsy	1682	0.085066	0.021562	0.02445	0.00025216	Adult	pseudotimeDE	downRegulated	0.00151296
hdbr_sexDE_femaleBiased	Height	1180	0.15969	0.034013	0.056266	0.0022717	Prenatal	sexDE	femaleBiased	0.068151
hdbr_sexDE_maleBiased	Height	1721	0.083347	0.021192	0.049342	0.045604	Prenatal	sexDE	maleBiased	0.68406
hdbr_pseudotimeDE_upRegulated	Height	7059	0.15894	0.071745	0.02815	8.345e-09	Prenatal	pseudotimeDE	upRegulated	1.25175e-07
hdbr_pseudotimeDE_downRegulated	Height	5113	0.17688	0.071589	0.029835	1.5594e-09	Prenatal	pseudotimeDE	downRegulated	4.6782e-08
gtex_sexDE_femaleBiased	Height	307	0.043887	0.0048554	0.10757	0.34165	Adult	sexDE	femaleBiased	0.64059375
gtex_sexDE_maleBiased	Height	626	-0.14206	-0.022295	0.080472	0.96123	Adult	sexDE	maleBiased	0.97832
gtex_pseudotimeDE_upRegulated	Height	2576	0.23183	0.070765	0.040533	5.4407e-09	Adult	pseudotimeDE	upRegulated	1.63221e-07
gtex_pseudotimeDE_downRegulated	Height	1705	-0.051128	-0.012944	0.047911	0.85704	Adult	pseudotimeDE	downRegulated	0.918257142857143
hdbr_sexDE_femaleBiased	Major depressive disorder	1185	0.0058712	0.0012477	0.028144	0.41738	Prenatal	sexDE	femaleBiased	0.86664375
hdbr_sexDE_maleBiased	Major depressive disorder	1727	-0.012002	-0.0030441	0.025103	0.68372	Prenatal	sexDE	maleBiased	0.87733
hdbr_pseudotimeDE_upRegulated	Major depressive disorder	7098	0.010353	0.0046686	0.01455	0.23837	Prenatal	pseudotimeDE	upRegulated	0.383352631578947
hdbr_pseudotimeDE_downRegulated	Major depressive disorder	5135	-0.0024808	-0.0010023	0.015384	0.56405	Prenatal	pseudotimeDE	downRegulated	0.70488
gtex_sexDE_femaleBiased	Major depressive disorder	307	0.046167	0.0050852	0.054718	0.19942	Adult	sexDE	femaleBiased	0.64059375
gtex_sexDE_maleBiased	Major depressive disorder	627	0.02205	0.0034484	0.041562	0.29788	Adult	sexDE	maleBiased	0.64059375
gtex_pseudotimeDE_upRegulated	Major depressive disorder	2590	-0.047839	-0.01458	0.020887	0.98899	Adult	pseudotimeDE	upRegulated	0.98899
gtex_pseudotimeDE_downRegulated	Major depressive disorder	1712	0.057094	0.014422	0.024484	0.0098603	Adult	pseudotimeDE	downRegulated	0.036976125
